id,book,mode,rank_ic,avg_turnover,net0,net60,net100,net150,yearly_net60
P1_V11_D_deeper64_CH_3s,blend_band10,long_short,0.06832638783166327,0.299055568990951,2.131,1.918,1.775,1.597,"{""2023"": {""sharpe"": 1.79, ""mean_pct"": 2.24, ""n"": 12}, ""2024"": {""sharpe"": 1.32, ""mean_pct"": 1.56, ""n"": 13}, ""2025"": {""sharpe"": 1.49, ""mean_pct"": 3.57, ""n"": 12}, ""2026"": {""sharpe"": 13.21, ""mean_pct"": 9.28, ""n"": 5}}"
P1_V11_D_deeper64_CH_3s,blend_band10,long_only,0.06832638783166327,0.24982500188865714,1.967,1.9,1.856,1.8,"{""2023"": {""sharpe"": 2.46, ""mean_pct"": 4.1, ""n"": 12}, ""2024"": {""sharpe"": 0.96, ""mean_pct"": 1.5, ""n"": 13}, ""2025"": {""sharpe"": 1.47, ""mean_pct"": 4.53, ""n"": 12}, ""2026"": {""sharpe"": 5.77, ""mean_pct"": 11.45, ""n"": 5}}"
P1_V11_E_longer90_CH_3s,books,long_short,0.07212853098652958,0.3265446162961617,1.762,1.526,1.368,1.171,"{""2023"": {""sharpe"": 0.94, ""mean_pct"": 1.03, ""n"": 12}, ""2024"": {""sharpe"": 1.08, ""mean_pct"": 1.43, ""n"": 13}, ""2025"": {""sharpe"": 1.26, ""mean_pct"": 2.65, ""n"": 12}, ""2026"": {""sharpe"": 5.1, ""mean_pct"": 8.83, ""n"": 5}}"
P1_V11_E_longer90_CH_3s,books,long_only,0.07212853098652958,0.2877591476806604,1.756,1.677,1.625,1.559,"{""2023"": {""sharpe"": 2.0, ""mean_pct"": 3.19, ""n"": 12}, ""2024"": {""sharpe"": 0.65, ""mean_pct"": 0.9, ""n"": 13}, ""2025"": {""sharpe"": 1.46, ""mean_pct"": 3.97, ""n"": 12}, ""2026"": {""sharpe"": 4.03, ""mean_pct"": 10.67, ""n"": 5}}"
P1_V11_E_longer90_CH_3s,blend_band10,long_short,0.07616892362617864,0.2825887429918654,1.99,1.789,1.654,1.486,"{""2023"": {""sharpe"": 1.76, ""mean_pct"": 2.16, ""n"": 12}, ""2024"": {""sharpe"": 1.26, ""mean_pct"": 1.78, ""n"": 13}, ""2025"": {""sharpe"": 1.29, ""mean_pct"": 2.71, ""n"": 12}, ""2026"": {""sharpe"": 5.72, ""mean_pct"": 8.8, ""n"": 5}}"
P1_V11_E_longer90_CH_3s,blend_band10,long_only,0.07616892362617864,0.25309263214377176,1.807,1.737,1.69,1.631,"{""2023"": {""sharpe"": 2.26, ""mean_pct"": 3.85, ""n"": 12}, ""2024"": {""sharpe"": 0.73, ""mean_pct"": 1.25, ""n"": 13}, ""2025"": {""sharpe"": 1.32, ""mean_pct"": 3.59, ""n"": 12}, ""2026"": {""sharpe"": 4.69, ""mean_pct"": 10.55, ""n"": 5}}"
P1_V11_F_wider96_longer90_CH_3s,books,long_short,0.07459459485883227,0.31742116071676185,1.808,1.594,1.451,1.272,"{""2023"": {""sharpe"": 1.1, ""mean_pct"": 1.05, ""n"": 12}, ""2024"": {""sharpe"": 1.41, ""mean_pct"": 1.83, ""n"": 13}, ""2025"": {""sharpe"": 1.02, ""mean_pct"": 2.32, ""n"": 12}, ""2026"": {""sharpe"": 6.33, ""mean_pct"": 10.94, ""n"": 5}}"
P1_V11_F_wider96_longer90_CH_3s,books,long_only,0.07459459485883227,0.27598826641076546,1.61,1.539,1.492,1.432,"{""2023"": {""sharpe"": 1.75, ""mean_pct"": 3.12, ""n"": 12}, ""2024"": {""sharpe"": 0.5, ""mean_pct"": 0.69, ""n"": 13}, ""2025"": {""sharpe"": 1.1, ""mean_pct"": 2.99, ""n"": 12}, ""2026"": {""sharpe"": 5.06, ""mean_pct"": 12.21, ""n"": 5}}"
P1_V11_F_wider96_longer90_CH_3s,blend_band10,long_short,0.07403221542892482,0.28004279297843754,1.9,1.711,1.585,1.427,"{""2023"": {""sharpe"": 2.19, ""mean_pct"": 2.34, ""n"": 12}, ""2024"": {""sharpe"": 1.24, ""mean_pct"": 1.99, ""n"": 13}, ""2025"": {""sharpe"": 1.27, ""mean_pct"": 3.05, ""n"": 12}, ""2026"": {""sharpe"": 3.96, ""mean_pct"": 7.51, ""n"": 5}}"
P1_V11_F_wider96_longer90_CH_3s,blend_band10,long_only,0.07403221542892482,0.2540941290243501,1.844,1.774,1.728,1.669,"{""2023"": {""sharpe"": 2.67, ""mean_pct"": 4.28, ""n"": 12}, ""2024"": {""sharpe"": 0.61, ""mean_pct"": 1.14, ""n"": 13}, ""2025"": {""sharpe"": 1.43, ""mean_pct"": 3.94, ""n"": 12}, ""2026"": {""sharpe"": 4.33, ""mean_pct"": 9.92, ""n"": 5}}"
P1_V11_G_wider128_deeper3_CH_3s,books,long_short,0.055132834758895966,0.3322007982608175,1.566,1.352,1.21,1.034,"{""2023"": {""sharpe"": -1.0, ""mean_pct"": -1.27, ""n"": 12}, ""2024"": {""sharpe"": 1.73, ""mean_pct"": 2.67, ""n"": 13}, ""2025"": {""sharpe"": 1.33, ""mean_pct"": 2.96, ""n"": 12}, ""2026"": {""sharpe"": 7.05, ""mean_pct"": 10.85, ""n"": 5}}"
P1_V11_G_wider128_deeper3_CH_3s,books,long_only,0.055132834758895966,0.3002368595741771,1.771,1.684,1.626,1.553,"{""2023"": {""sharpe"": 1.47, ""mean_pct"": 1.86, ""n"": 12}, ""2024"": {""sharpe"": 0.89, ""mean_pct"": 1.55, ""n"": 13}, ""2025"": {""sharpe"": 1.52, ""mean_pct"": 4.19, ""n"": 12}, ""2026"": {""sharpe"": 5.49, ""mean_pct"": 12.46, ""n"": 5}}"
P1_V11_G_wider128_deeper3_CH_3s,blend_band10,long_short,0.06128712197534075,0.31398948915069724,1.914,1.68,1.525,1.33,"{""2023"": {""sharpe"": 0.97, ""mean_pct"": 0.95, ""n"": 12}, ""2024"": {""sharpe"": 1.19, ""mean_pct"": 1.45, ""n"": 13}, ""2025"": {""sharpe"": 1.53, ""mean_pct"": 3.44, ""n"": 12}, ""2026"": {""sharpe"": 7.33, ""mean_pct"": 8.75, ""n"": 5}}"
P1_V11_G_wider128_deeper3_CH_3s,blend_band10,long_only,0.06128712197534075,0.27559407138387654,1.886,1.809,1.757,1.692,"{""2023"": {""sharpe"": 2.23, ""mean_pct"": 2.99, ""n"": 12}, ""2024"": {""sharpe"": 0.87, ""mean_pct"": 1.37, ""n"": 13}, ""2025"": {""sharpe"": 1.56, ""mean_pct"": 4.4, ""n"": 12}, ""2026"": {""sharpe"": 4.8, ""mean_pct"": 11.02, ""n"": 5}}"
