symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
3711,2018-04-30,2026-09-21,2047,2047,0,0,0,0,0,0,0,,0,,0,2047,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4133,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4904,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4938,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2020-08-13,0,,0,1485,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
5522,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
5880,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
5903,2015-01-05,2026-09-21,2856,2846,10,0,0,0,8,2,2,2016-10-21,0,,0,728,True,0,PASS,1020,84,INCOMPLETE,0,10,0,0,UNKNOWN_LISTING_BOUNDARY,True
6414,2015-01-05,2026-09-21,2856,2854,2,0,0,0,2,0,1,2016-10-12,0,,0,2065,True,0,PASS,380,42,INCOMPLETE,0,2,0,0,UNKNOWN_LISTING_BOUNDARY,True
6446,2024-01-25,2026-09-21,642,642,0,0,0,0,0,0,0,,0,,0,642,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
6770,2021-12-06,2026-09-21,1163,1163,0,0,0,0,0,0,0,,0,,0,1163,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9904,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9910,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9914,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9921,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9933,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2025-05-13,0,,1,334,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
9945,2015-01-05,2026-09-21,2856,2842,14,0,0,0,2,2,7,2018-09-27,0,,0,726,True,0,PASS,380,42,INCOMPLETE,0,14,0,0,UNKNOWN_LISTING_BOUNDARY,True
