run_at,symbol,month,state,expected_missing,rows_returned,rows_accepted,rows_added,rows_rejected,remaining,attempts,suspension_status,no_data_sessions,registry_confirmed_no_trade
2026-09-21 22:47:33,3037,2017-08,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,3037,2017-09,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3037,2017-10,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,3037,2017-11,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3037,2017-12,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,3037,2020-05,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,3037,2022-02,MARKET_OPEN_SYMBOL_NO_DATA,1,14,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2022-02-22,
2026-09-21 22:47:33,3045,2017-08,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,3045,2017-09,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3045,2017-11,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3045,2017-12,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,3045,2019-07,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,3045,2020-05,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,3045,2021-07,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3443,2023-11,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3443,2024-02,FETCH_OK,13,13,13,13,0,0,1,,,
2026-09-21 22:47:33,3661,2020-11,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,3711,2018-07,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3711,2020-11,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,3711,2023-03,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,4904,2022-05,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,4938,2020-08,MARKET_OPEN_SYMBOL_NO_DATA,1,20,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2020-08-13,
2026-09-21 22:47:33,5880,2022-10,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,5903,2016-04,MARKET_OPEN_SYMBOL_NO_DATA,1,18,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2016-04-27,
2026-09-21 22:47:33,5903,2016-10,MARKET_OPEN_SYMBOL_NO_DATA,2,18,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2016-10-21;2016-10-24,
