item,recipe,cell,refit_date,seed,epoch,train_loss,val_ic
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,2,0.3328,0.00534
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,3,0.33248,0.00783
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,4,0.33214,0.01236
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,5,0.33203,0.01366
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,6,0.33151,-0.00115
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,7,0.33167,-0.03721
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,8,0.33102,-0.00402
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,9,0.33077,-0.03952
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,10,0.33051,-0.0469
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,0,0.33486,0.01689
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,1,0.33314,0.01591
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,2,0.33275,0.01515
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,3,0.33228,0.00184
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,4,0.33196,-0.02299
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,1,5,0.33152,-0.05337
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,0,0.33573,0.01285
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,1,0.3336,0.02658
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,2,0.33317,0.00433
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,3,0.33261,-0.02254
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,4,0.332,-0.02896
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,5,0.33131,-0.03451
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,2,6,0.33069,-0.05374
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,0,0.33384,-0.02243
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,1,0.33287,0.0352
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,2,0.33274,-0.0096
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,3,0.33258,0.06208
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,4,0.33238,0.05801
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,5,0.33206,0.05412
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,6,0.3317,0.02085
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,7,0.33151,0.01652
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,0,8,0.33114,0.03281
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,0,0.33454,0.06897
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,1,0.3331,0.0809
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,2,0.33275,0.07596
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,3,0.3323,0.06502
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,4,0.33179,0.06052
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,5,0.33146,0.05778
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,1,6,0.33118,0.04447
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,0,0.33544,0.06717
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,1,0.33347,0.07301
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,2,0.33301,0.08327
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,3,0.33261,0.07175
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,4,0.33175,0.03465
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,5,0.33111,0.02272
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,6,0.33072,0.05147
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2026-02-26,2,7,0.33021,0.03456
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-01-03,0,0,0.33461,-0.02293
