window,signal,config,cost_bps,sharpe,max_dd,ann_ret,yearly,short_hit_rate,short_mae_mean,turnover_long,turnover_short,avg_n_short,avg_n_excluded,max_short_sector_w
BR,d12,S100_diagnostic,60,-1.024,-0.7244,-0.2134,"{""2021"": -1.19, ""2022"": -0.65, ""2023"": -1.34, ""2024"": -0.23, ""2025"": -0.99, ""2026"": -5.36}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100,100,1.291,-0.3739,0.346,"{""2021"": 1.23, ""2022"": -0.45, ""2023"": 2.48, ""2024"": 0.69, ""2025"": 1.45, ""2026"": 3.44}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S50,100,0.951,-0.4181,0.2184,"{""2021"": 0.93, ""2022"": -1.34, ""2023"": 1.82, ""2024"": 0.62, ""2025"": 1.05, ""2026"": 2.85}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S100_net0,100,0.386,-0.528,0.0908,"{""2021"": 0.5, ""2022"": -1.95, ""2023"": 1.01, ""2024"": 0.22, ""2025"": 0.32, ""2026"": 2.12}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,S100_diagnostic,100,-1.228,-0.7788,-0.2553,"{""2021"": -1.45, ""2022"": -0.83, ""2023"": -1.6, ""2024"": -0.39, ""2025"": -1.14, ""2026"": -5.77}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100,150,1.208,-0.3912,0.3243,"{""2021"": 1.17, ""2022"": -0.56, ""2023"": 2.38, ""2024"": 0.57, ""2025"": 1.36, ""2026"": 3.4}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S50,150,0.74,-0.4564,0.1705,"{""2021"": 0.77, ""2022"": -1.67, ""2023"": 1.58, ""2024"": 0.28, ""2025"": 0.83, ""2026"": 2.72}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S100_net0,150,0.071,-0.6475,0.0167,"{""2021"": 0.24, ""2022"": -2.43, ""2023"": 0.67, ""2024"": -0.19, ""2025"": 0.02, ""2026"": 1.91}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,S100_diagnostic,150,-1.482,-0.8321,-0.3077,"{""2021"": -1.77, ""2022"": -1.05, ""2023"": -1.94, ""2024"": -0.59, ""2025"": -1.34, ""2026"": -6.26}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100,200,1.126,-0.4081,0.3026,"{""2021"": 1.11, ""2022"": -0.66, ""2023"": 2.27, ""2024"": 0.45, ""2025"": 1.27, ""2026"": 3.35}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S50,200,0.531,-0.4924,0.1226,"{""2021"": 0.61, ""2022"": -2.0, ""2023"": 1.34, ""2024"": -0.07, ""2025"": 0.6, ""2026"": 2.6}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S100_net0,200,-0.243,-0.7373,-0.0574,"{""2021"": -0.02, ""2022"": -2.9, ""2023"": 0.34, ""2024"": -0.61, ""2025"": -0.28, ""2026"": 1.69}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,S100_diagnostic,200,-1.735,-0.8727,-0.36,"{""2021"": -2.09, ""2022"": -1.27, ""2023"": -2.27, ""2024"": -0.78, ""2025"": -1.54, ""2026"": -6.74}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,blend50,L100,60,1.364,-0.3115,0.3684,"{""2021"": 1.29, ""2022"": -0.17, ""2023"": 2.72, ""2024"": 0.74, ""2025"": 1.32, ""2026"": 3.54}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
