window,signal,date,stock,fwd_20,short_pnl_contrib
BR,d12,2021-08-04,2324,0.046403714,-0.0033145509999999998
BR,d12,2021-08-04,2330,0.018456375,-0.0013183125
BR,d12,2021-08-04,2354,0.015822785,-0.0011301989285714285
BR,d12,2021-08-04,3231,0.014760148,-0.0010542962857142857
BR,d12,2021-09-01,3661,0.097260274,-0.006947162428571428
BR,d12,2021-09-01,3443,0.026548672,-0.0018963337142857142
BR,d12,2021-09-01,4938,0.024806201,-0.0017718715
BR,d12,2021-09-01,2313,0.008739077,-0.0006242197857142857
BR,d12,2021-09-01,2382,0.0025940337,-0.00018528812142857144
BR,d12,2021-10-01,2458,0.15517241,-0.011083743571428571
BR,d12,2021-10-01,2409,0.13095239,-0.009353742142857143
BR,d12,2021-10-01,2377,0.12992126,-0.00928009
BR,d12,2021-10-01,2337,0.112834975,-0.00805964107142857
BR,d12,2021-10-01,2353,0.0985325,-0.007038035714285714
BR,d12,2021-11-01,2610,0.37203166,-0.026573689999999997
BR,d12,2021-11-01,2344,0.22328244,-0.015948745714285714
BR,d12,2021-11-01,2345,0.1494024,-0.010671599999999998
BR,d12,2021-11-01,3034,0.14796548,-0.010568962857142858
BR,d12,2021-11-01,2377,0.1358885,-0.009706321428571427
BR,d12,2021-11-29,3008,0.20854272,-0.01489590857142857
BR,d12,2021-11-29,1590,0.19883041,-0.014202172142857144
BR,d12,2021-11-29,2353,0.08844765,-0.006317689285714285
BR,d12,2021-11-29,2002,0.08755761,-0.006254114999999999
BR,d12,2021-11-29,2308,0.083984375,-0.005998883928571428
BR,d12,2021-12-27,2345,0.011450382,-0.0008178844285714285
BR,d12,2021-12-27,1102,0.0,-0.0
BR,d12,2021-12-27,1402,-0.012006861,0.0008576329285714286
BR,d12,2021-12-27,2458,-0.024169184,0.0017263702857142856
BR,d12,2021-12-27,2308,-0.034234233,0.0024453023571428573
BR,d12,2022-01-25,2603,0.33628318,-0.02402022714285714
BR,d12,2022-01-25,2609,0.27281946,-0.019487104285714287
BR,d12,2022-01-25,2615,0.22033899,-0.015738499285714285
